Code,Area,White,Asian,Black,Mixed/ Other,Total,Year
E09000026,Redbridge,"125,000","133,000","24,000","18,000","300,000",2016
E09000027,Richmond upon Thames,"169,000","8,000","3,000","12,000","192,000",2016
E09000028,Southwark,"170,000","29,000","71,000","37,000","308,000",2016
E09000029,Sutton,"145,000","25,000","13,000","18,000","200,000",2016
E09000030,Tower Hamlets,"124,000","130,000","28,000","18,000","299,000",2016
E09000031,Waltham Forest,"156,000","57,000","37,000","23,000","273,000",2016
E09000032,Wandsworth,"227,000","30,000","25,000","34,000","317,000",2016
E09000033,Westminster,"136,000","31,000","18,000","54,000","239,000",2016
E09000001,City of London,-,-,-,-,"8,000",2015
E09000002,Barking and Dagenham,"95,000","41,000","52,000","14,000","202,000",2015
E09000003,Barnet,"247,000","54,000","29,000","43,000","373,000",2015
E09000004,Bexley,"195,000","15,000","23,000","7,000","240,000",2015
E09000005,Brent,"108,000","108,000","55,000","50,000","321,000",2015
E09000006,Bromley,"259,000","16,000","31,000","17,000","323,000",2015
E09000007,Camden,"158,000","27,000","25,000","30,000","240,000",2015
E09000008,Croydon,"221,000","61,000","66,000","29,000","377,000",2015
E09000009,Ealing,"160,000","102,000","37,000","41,000","339,000",2015
E09000010,Enfield,"192,000","31,000","66,000","33,000","321,000",2015
E09000011,Greenwich,"170,000","30,000","51,000","20,000","272,000",2015
E09000012,Hackney,"145,000","19,000","55,000","48,000","268,000",2015
E09000013,Hammersmith and Fulham,"119,000","15,000","23,000","23,000","180,000",2015
E09000014,Haringey,"164,000","21,000","46,000","36,000","267,000",2015
E09000015,Harrow,"103,000","106,000","13,000","23,000","245,000",2015
E09000016,Havering,"217,000","13,000","11,000","7,000","248,000",2015
E09000017,Hillingdon,"159,000","74,000","36,000","24,000","293,000",2015
E09000018,Hounslow,"128,000","92,000","20,000","23,000","264,000",2015
E09000019,Islington,"151,000","22,000","21,000","30,000","225,000",2015
E09000020,Kensington and Chelsea,"104,000","12,000","15,000","25,000","156,000",2015
E09000021,Kingston upon Thames,"130,000","20,000","2,000","16,000","169,000",2015
E09000022,Lambeth,"199,000","13,000","71,000","33,000","316,000",2015
E09000023,Lewisham,"161,000","31,000","77,000","24,000","293,000",2015
E09000024,Merton,"134,000","31,000","24,000","15,000","204,000",2015
E09000025,Newham,"107,000","128,000","60,000","40,000","335,000",2015
E09000026,Redbridge,"123,000","140,000","19,000","15,000","296,000",2015
E09000027,Richmond upon Thames,"166,000","11,000","3,000","12,000","191,000",2015
E09000028,Southwark,"165,000","22,000","81,000","37,000","306,000",2015
E09000029,Sutton,"152,000","27,000","10,000","10,000","198,000",2015
E09000030,Tower Hamlets,"109,000","132,000","28,000","22,000","291,000",2015
E09000031,Waltham Forest,"140,000","61,000","46,000","20,000","268,000",2015
E09000032,Wandsworth,"233,000","38,000","24,000","22,000","316,000",2015
E09000033,Westminster,"132,000","27,000","26,000","48,000","233,000",2015
E09000001,City of London,-,-,-,-,-,2014
E09000002,Barking and Dagenham,"99,000","33,000","44,000","22,000","198,000",2014
E09000003,Barnet,"242,000","53,000","16,000","57,000","367,000",2014
E09000004,Bexley,"193,000","10,000","30,000","6,000","239,000",2014
E09000005,Brent,"117,000","99,000","53,000","49,000","318,000",2014
E09000006,Bromley,"269,000","20,000","14,000","16,000","318,000",2014
E09000007,Camden,"154,000","32,000","17,000","31,000","233,000",2014
E09000008,Croydon,"229,000","48,000","75,000","21,000","373,000",2014
E09000009,Ealing,"170,000","94,000","33,000","40,000","337,000",2014
E09000010,Enfield,"200,000","34,000","60,000","26,000","319,000",2014
E09000011,Greenwich,"168,000","36,000","43,000","20,000","266,000",2014
E09000012,Hackney,"135,000","19,000","63,000","45,000","262,000",2014
E09000013,Hammersmith and Fulham,"127,000","14,000","18,000","21,000","180,000",2014
E09000014,Haringey,"160,000","25,000","49,000","28,000","262,000",2014
E09000015,Harrow,"99,000","102,000","16,000","26,000","243,000",2014
E09000016,Havering,"211,000","13,000","8,000","12,000","244,000",2014
E09000017,Hillingdon,"170,000","71,000","21,000","27,000","289,000",2014
E09000018,Hounslow,"139,000","90,000","12,000","22,000","263,000",2014
E09000019,Islington,"155,000","17,000","19,000","28,000","219,000",2014
E09000020,Kensington and Chelsea,"107,000","12,000","14,000","23,000","156,000",2014
E09000021,Kingston upon Thames,"122,000","21,000","7,000","17,000","167,000",2014
E09000022,Lambeth,"209,000","11,000","66,000","28,000","314,000",2014
E09000023,Lewisham,"170,000","27,000","65,000","27,000","288,000",2014
E09000024,Merton,"123,000","36,000","28,000","16,000","203,000",2014
E09000025,Newham,"96,000","143,000","47,000","41,000","327,000",2014
E09000026,Redbridge,"133,000","112,000","24,000","22,000","291,000",2014
E09000027,Richmond upon Thames,"165,000","10,000","4,000","13,000","192,000",2014
E09000028,Southwark,"172,000","26,000","74,000","29,000","301,000",2014
E09000029,Sutton,"143,000","31,000","6,000","17,000","196,000",2014
E09000030,Tower Hamlets,"112,000","126,000","19,000","26,000","283,000",2014
E09000031,Waltham Forest,"138,000","57,000","47,000","24,000","266,000",2014
E09000032,Wandsworth,"224,000","38,000","27,000","21,000","310,000",2014
E09000033,Westminster,"134,000","24,000","20,000","51,000","229,000",2014
E09000001,City of London,-,-,-,-,-,2013
E09000002,Barking and Dagenham,"106,000","32,000","43,000","12,000","193,000",2013
E09000003,Barnet,"248,000","43,000","27,000","46,000","364,000",2013
E09000004,Bexley,"194,000","7,000","26,000","9,000","236,000",2013
E09000005,Brent,"99,000","110,000","55,000","51,000","315,000",2013
E09000006,Bromley,"270,000","20,000","13,000","13,000","316,000",2013
E09000007,Camden,"146,000","35,000","13,000","33,000","228,000",2013
E09000008,Croydon,"204,000","65,000","70,000","31,000","369,000",2013
E09000009,Ealing,"153,000","109,000","32,000","44,000","339,000",2013
E09000010,Enfield,"204,000","33,000","50,000","30,000","316,000",2013
E09000011,Greenwich,"163,000","40,000","47,000","11,000","262,000",2013
E09000012,Hackney,"132,000","23,000","62,000","39,000","255,000",2013
E09000013,Hammersmith and Fulham,"128,000","12,000","20,000","20,000","180,000",2013
E09000014,Haringey,"159,000","28,000","41,000","31,000","259,000",2013
E09000015,Harrow,"105,000","98,000","17,000","21,000","241,000",2013
E09000016,Havering,"214,000","13,000","7,000","6,000","240,000",2013
E09000017,Hillingdon,"157,000","83,000","15,000","28,000","283,000",2013
E09000018,Hounslow,"135,000","93,000","13,000","19,000","260,000",2013
E09000019,Islington,"145,000","14,000","29,000","24,000","213,000",2013
E09000020,Kensington and Chelsea,"106,000","11,000","13,000","24,000","155,000",2013
E09000021,Kingston upon Thames,"127,000","24,000","3,000","10,000","164,000",2013
E09000022,Lambeth,"209,000","13,000","60,000","28,000","310,000",2013
E09000023,Lewisham,"178,000","28,000","52,000","25,000","283,000",2013
E09000024,Merton,"138,000","29,000","21,000","13,000","202,000",2013
E09000025,Newham,"76,000","146,000","45,000","53,000","320,000",2013
E09000026,Redbridge,"118,000","124,000","23,000","22,000","287,000",2013
E09000027,Richmond upon Thames,"168,000","10,000",-,"10,000","189,000",2013
E09000028,Southwark,"176,000","23,000","70,000","28,000","297,000",2013
E09000029,Sutton,"147,000","28,000","10,000","9,000","194,000",2013
E09000030,Tower Hamlets,"110,000","126,000","12,000","24,000","272,000",2013
E09000031,Waltham Forest,"138,000","60,000","43,000","23,000","264,000",2013
E09000032,Wandsworth,"234,000","30,000","26,000","18,000","308,000",2013
E09000033,Westminster,"136,000","25,000","12,000","50,000","224,000",2013
E09000001,City of London,-,-,-,-,-,2012
E09000002,Barking and Dagenham,"106,000","27,000","44,000","12,000","189,000",2012
E09000003,Barnet,"235,000","66,000","24,000","35,000","361,000",2012
E09000004,Bexley,"186,000","8,000","31,000","8,000","233,000",2012
E09000005,Brent,"95,000","109,000","58,000","50,000","312,000",2012
E09000006,Bromley,"262,000","19,000","14,000","18,000","312,000",2012
E09000007,Camden,"134,000","32,000","19,000","35,000","221,000",2012
E09000008,Croydon,"212,000","63,000","58,000","31,000","365,000",2012
E09000009,Ealing,"169,000","99,000","25,000","44,000","337,000",2012
E09000010,Enfield,"203,000","37,000","45,000","28,000","313,000",2012
E09000011,Greenwich,"165,000","32,000","47,000","13,000","257,000",2012
E09000012,Hackney,"132,000","30,000","46,000","41,000","251,000",2012
E09000013,Hammersmith and Fulham,"123,000","15,000","24,000","20,000","181,000",2012
E09000014,Haringey,"155,000","26,000","43,000","32,000","255,000",2012
E09000015,Harrow,"94,000","105,000","13,000","27,000","240,000",2012
E09000016,Havering,"211,000","8,000","12,000","6,000","237,000",2012
E09000017,Hillingdon,"178,000","70,000","16,000","15,000","279,000",2012
E09000018,Hounslow,"147,000","73,000","13,000","24,000","257,000",2012
E09000019,Islington,"143,000","19,000","24,000","23,000","209,000",2012
E09000020,Kensington and Chelsea,"108,000","13,000","11,000","22,000","154,000",2012
E09000021,Kingston upon Thames,"120,000","29,000","3,000","9,000","162,000",2012
E09000022,Lambeth,"201,000","15,000","71,000","20,000","306,000",2012
E09000023,Lewisham,"160,000","34,000","60,000","24,000","278,000",2012
E09000024,Merton,"129,000","40,000","18,000","12,000","200,000",2012
E09000025,Newham,"83,000","144,000","52,000","35,000","315,000",2012
E09000026,Redbridge,"128,000","116,000","19,000","20,000","282,000",2012
E09000027,Richmond upon Thames,"164,000","11,000",-,"10,000","186,000",2012
E09000028,Southwark,"171,000","30,000","60,000","28,000","290,000",2012
E09000029,Sutton,"147,000","23,000","9,000","13,000","192,000",2012
E09000030,Tower Hamlets,"100,000","128,000","18,000","16,000","261,000",2012
E09000031,Waltham Forest,"141,000","56,000","38,000","25,000","260,000",2012
E09000032,Wandsworth,"229,000","26,000","29,000","23,000","306,000",2012
E09000033,Westminster,"119,000","30,000","19,000","55,000","222,000",2012
